PROVINCIA,CANTON,DISTRITO,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION
ALAJUELA,GRECIA,RÍO CUARTO,20306,11074,44.75,434,14478,254.2,56.96,HUETAR NORTE
ALAJUELA,GRECIA,PUENTE DE PIEDRA,20307,10556,68.91,175,12191,22.86,533.29,CENTRAL
ALAJUELA,GRECIA,BOLÍVAR,20308,7265,68.34,187,8323,30.31,274.6,CENTRAL
ALAJUELA,SAN MATEO,SAN MATEO,20401,2692,74.26,107,2992,64.89,46.11,PACÍFICO CENTRAL
ALAJUELA,SAN MATEO,DESMONTE,20402,1047,68.33,188,1110,21.66,51.25,PACÍFICO CENTRAL
ALAJUELA,SAN MATEO,JESÚS MARÍA,20403,2397,76.2,87,1399,18.22,76.78,PACÍFICO CENTRAL
ALAJUELA,SAN MATEO,LABRADOR,20404,1309,73.35,117,1353,21.13,64.03,PACÍFICO CENTRAL
ALAJUELA,ATENAS,ATENAS,20501,7546,91.96,10,7822,8.93,875.92,CENTRAL
ALAJUELA,ATENAS,JESÚS,20502,3631,70.3,154,4093,16.87,242.62,CENTRAL
ALAJUELA,ATENAS,MERCEDES,20503,3127,71.53,139,3556,8.3,428.43,CENTRAL
ALAJUELA,ATENAS,SAN ISIDRO,20504,2813,57.51,300,3240,14.51,223.29,CENTRAL
ALAJUELA,ATENAS,CONCEPCIÓN,20505,3473,74.51,103,3952,23.98,164.8,CENTRAL
ALAJUELA,ATENAS,SAN JOSÉ,20506,1940,62.04,256,2166,13.98,154.94,CENTRAL
ALAJUELA,ATENAS,SANTA EULALIA,20507,2082,68.87,177,2325,14.19,163.85,CENTRAL
ALAJUELA,ATENAS,ESCOBAL,20508,848,52.34,359,958,26.43,36.25,CENTRAL
ALAJUELA,NARANJO,NARANJO,20601,15936,73.05,120,16779,17.55,956.07,CENTRAL
ALAJUELA,NARANJO,SAN MIGUEL,20602,4657,65.37,215,5286,15.0,352.4,CENTRAL
ALAJUELA,NARANJO,SAN JOSÉ,20603,3162,67.63,198,3450,20.48,168.46,CENTRAL
ALAJUELA,NARANJO,CIRRÍ SUR,20604,4552,60.48,269,5128,32.1,159.75,CENTRAL
ALAJUELA,NARANJO,SAN JERÓNIMO,20605,3264,65.8,211,3733,9.44,395.44,CENTRAL
ALAJUELA,NARANJO,SAN JUAN,20606,3114,67.2,201,3432,7.02,488.89,CENTRAL
ALAJUELA,NARANJO,EL ROSARIO,20607,3757,67.05,203,4228,16.83,251.22,CENTRAL
ALAJUELA,NARANJO,PALMITOS,20608,4271,65.1,217,4678,8.2,570.49,CENTRAL
ALAJUELA,PALMARES,PALMARES,20701,3599,96.9,5,3741,1.09,3432.11,CENTRAL
ALAJUELA,PALMARES,ZARAGOZA,20702,8219,81.63,52,9209,8.05,1143.98,CENTRAL
ALAJUELA,PALMARES,BUENOS AIRES,20703,7493,78.28,74,8366,6.86,1219.53,CENTRAL
ALAJUELA,PALMARES,SANTIAGO,20704,2737,68.42,184,3132,8.05,389.07,CENTRAL
ALAJUELA,PALMARES,CANDELARIA,20705,1961,63.06,239,2272,4.07,558.23,CENTRAL
ALAJUELA,PALMARES,ESQUIPULAS,20706,6588,70.91,148,7719,5.37,1437.43,CENTRAL
ALAJUELA,PALMARES,LA GRANJA,20707,4119,90.4,13,4603,4.57,1007.22,CENTRAL
ALAJUELA,POÁS,SAN PEDRO,20801,7554,74.39,105,7919,14.64,540.92,CENTRAL
ALAJUELA,POÁS,SAN JUAN,20802,4638,63.13,237,5149,15.11,340.77,CENTRAL
ALAJUELA,POÁS,SAN RAFAEL,20803,5436,71.79,137,6065,14.32,423.53,CENTRAL
ALAJUELA,POÁS,CARRILLOS,20804,9228,66.03,209,10222,9.3,1099.14,CENTRAL
ALAJUELA,POÁS,SABANA REDONDA,20805,2343,59.63,283,2735,20.47,133.61,CENTRAL
ALAJUELA,OROTINA,OROTINA,20901,9664,73.82,112,10119,19.99,506.2,PACÍFICO CENTRAL
ALAJUELA,OROTINA,EL MASTATE,20902,1821,68.89,176,2033,9.15,222.19,PACÍFICO CENTRAL
ALAJUELA,OROTINA,HACIENDA VIEJA,20903,1022,73.7,114,1151,16.39,70.23,PACÍFICO CENTRAL
ALAJUELA,OROTINA,COYOLAR,20904,5912,51.72,365,6828,36.73,185.9,PACÍFICO CENTRAL
ALAJUELA,OROTINA,LA CEIBA,20905,1922,50.82,378,2311,59.66,38.74,PACÍFICO CENTRAL
ALAJUELA,SAN CARLOS,QUESADA,21001,42060,72.63,128,44214,145.31,304.27,HUETAR NORTE
ALAJUELA,SAN CARLOS,FLORENCIA,21002,15149,60.0,278,17116,182.15,93.97,HUETAR NORTE
ALAJUELA,SAN CARLOS,BUENAVISTA,21003,325,54.53,340,374,37.37,10.01,HUETAR NORTE
ALAJUELA,SAN CARLOS,AGUAS ZARCAS,21004,20239,60.56,266,23509,159.4,147.48,HUETAR NORTE
ALAJUELA,SAN CARLOS,VENECIA,21005,9638,63.02,241,10950,145.19,75.42,HUETAR NORTE
ALAJUELA,SAN CARLOS,PITAL,21006,17318,51.27,374,21823,375.43,58.13,HUETAR NORTE
ALAJUELA,SAN CARLOS,LA FORTUNA,21007,15383,61.2,264,17809,225.0,79.15,HUETAR NORTE
ALAJUELA,SAN CARLOS,LA TIGRA,21008,6374,62.4,251,7332,60.28,121.63,HUETAR NORTE
ALAJUELA,SAN CARLOS,LA PALMERA,21009,6321,62.69,246,7256,125.41,57.86,HUETAR NORTE
ALAJUELA,SAN CARLOS,VENADO,21010,1754,45.04,431,2054,167.75,12.24,HUETAR NORTE
ALAJUELA,SAN CARLOS,CUTRIS,21011,10334,46.89,410,13500,873.02,15.46,HUETAR NORTE
ALAJUELA,SAN CARLOS,MONTERREY,21012,3455,55.06,333,4010,220.12,18.22,HUETAR NORTE
ALAJUELA,SAN CARLOS,POCOSOL,21013,15395,46.92,409,18006,631.55,28.51,HUETAR NORTE
ALAJUELA,ZARCERO,ZARCERO,21101,4004,82.03,49,4277,12.01,356.12,CENTRAL
ALAJUELA,ZARCERO,LAGUNA,21102,1674,74.03,109,1888,23.08,81.8,CENTRAL
ALAJUELA,ZARCERO,TAPEZCO,21103,1305,79.51,65,1466,6.2,236.45,CENTRAL
ALAJUELA,ZARCERO,GUADALUPE,21104,1148,42.84,446,1320,22.35,59.06,CENTRAL
ALAJUELA,ZARCERO,PALMIRA,21105,1334,70.93,147,1580,30.29,52.16,CENTRAL
ALAJUELA,ZARCERO,ZAPOTE,21106,739,72.13,134,870,43.03,20.22,CENTRAL
ALAJUELA,ZARCERO,BRISAS,21107,2001,77.75,76,2339,18.17,128.73,CENTRAL
ALAJUELA,VALVERDE VEGA,SARCHÍ NORTE,21201,7140,74.34,106,8078,15.11,534.61,CENTRAL
ALAJUELA,VALVERDE VEGA,SARCHÍ SUR,21202,5143,64.43,226,6061,6.51,931.03,CENTRAL
ALAJUELA,VALVERDE VEGA,TORO AMARILLO,21203,273,57.98,294,366,73.03,5.01,CENTRAL
ALAJUELA,VALVERDE VEGA,SAN PEDRO,21204,3408,72.91,122,4122,15.8,260.89,CENTRAL
ALAJUELA,VALVERDE VEGA,RODRÍGUEZ,21205,2121,71.45,140,2608,9.8,266.12,CENTRAL
ALAJUELA,UPALA,UPALA,21301,16139,51.58,367,15102,139.39,108.34,HUETAR NORTE
ALAJUELA,UPALA,AGUAS CLARAS,21302,4939,49.88,390,5533,407.64,13.57,HUETAR NORTE
ALAJUELA,UPALA,SAN JOSÉ O PIZOTE,21303,7352,36.81,464,8351,285.5,29.25,HUETAR NORTE
ALAJUELA,UPALA,BIJAGUA,21304,4538,55.42,325,5140,178.69,28.76,HUETAR NORTE
ALAJUELA,UPALA,DELICIAS,21305,4483,41.99,451,5153,97.65,52.77,HUETAR NORTE
ALAJUELA,UPALA,DOS RÍOS,21306,3194,46.69,414,3733,217.93,17.13,HUETAR NORTE
ALAJUELA,UPALA,YOLILLAL,21307,3308,42.96,444,3833,147.64,25.96,HUETAR NORTE
ALAJUELA,UPALA,CANALETE,21308,4109,47.74,404,4353,106.23,40.98,HUETAR NORTE
ALAJUELA,LOS CHILES,LOS CHILES,21401,13262,45.39,428,18196,535.93,33.95,HUETAR NORTE
ALAJUELA,LOS CHILES,CAÑO NEGRO,21402,1808,45.45,427,2170,298.52,7.27,HUETAR NORTE
ALAJUELA,LOS CHILES,EL AMPARO,21403,5992,40.71,454,7258,310.65,23.36,HUETAR NORTE
ALAJUELA,LOS CHILES,SAN JORGE,21404,2673,44.53,435,3191,213.76,14.93,HUETAR NORTE
ALAJUELA,GUATUSO,SAN RAFAEL,21501,7941,45.67,424,9322,304.1,30.65,HUETAR NORTE
ALAJUELA,GUATUSO,BUENAVISTA,21502,1573,38.3,462,1864,157.1,11.87,HUETAR NORTE
ALAJUELA,GUATUSO,COTE,21503,867,52.4,356,1058,183.74,5.76,HUETAR NORTE
ALAJUELA,GUATUSO,KATIRA,21504,5127,52.28,360,6061,113.38,53.46,HUETAR NORTE
CARTAGO,CARTAGO,ORIENTAL,30101,12228,86.23,31,12441,2.39,5205.44,CENTRAL
CARTAGO,CARTAGO,OCCIDENTAL,30102,9901,82.05,48,10281,1.99,5166.33,CENTRAL
CARTAGO,CARTAGO,CARMEN,30103,17425,68.36,185,18666,4.22,4423.22,CENTRAL
