ZIPCODE,IDS,POSICIÓN,POPULATION_2016,EXTENSION,DENSITY,REGION
40202,70.79,152,10943,7.5,1459.07,CENTRAL
40203,76.88,84,9231,6.81,1355.51,CENTRAL
40204,82.65,45,5069,1.16,4369.83,CENTRAL
40205,88.07,24,7889,2.98,2647.32,CENTRAL
40206,70.27,156,6321,34.72,182.06,CENTRAL
40301,83.5,40,5120,0.74,6918.92,CENTRAL
40302,87.28,27,7615,2.8,2719.64,CENTRAL
40303,81.29,56,7520,5.86,1283.28,CENTRAL
40304,71.27,143,2641,1.28,2063.28,CENTRAL
40305,88.78,19,7521,3.5,2148.86,CENTRAL
40306,77.16,82,8654,4.37,1980.32,CENTRAL
40307,70.82,151,4166,3.58,1163.69,CENTRAL
40308,74.76,100,3963,2.71,1462.36,CENTRAL
40401,88.03,25,6212,1.29,4815.5,CENTRAL
40402,75.73,94,6385,2.48,2574.6,CENTRAL
40403,81.45,53,8565,4.43,1933.41,CENTRAL
40404,74.08,108,10775,12.61,854.48,CENTRAL
40405,69.33,170,3379,26.24,128.77,CENTRAL
40406,74,110,5136,6.16,833.77,CENTRAL
40501,83.2,41,10463,1.35,7750.37,CENTRAL
40502,72.61,129,13181,1.23,10716.26,CENTRAL
40503,82.96,42,9650,1.51,6390.73,CENTRAL
40504,81.81,51,11973,22.07,542.5,CENTRAL
40505,78.73,71,7205,22.23,324.11,CENTRAL
40601,94.14,7,6272,3.01,2083.72,CENTRAL
40602,82.23,46,8239,11.29,729.76,CENTRAL
40603,78.6,72,2897,8.07,358.98,CENTRAL
40604,77.14,83,4839,4.59,1054.25,CENTRAL
40701,84.78,33,11293,3.51,3217.38,CENTRAL
40702,84.61,36,7207,4.17,1728.3,CENTRAL
40703,96.95,3,7044,4.47,1575.84,CENTRAL
40801,88.69,20,8121,2.88,2819.79,CENTRAL
40802,92.46,9,4947,2.29,2160.26,CENTRAL
40803,79.59,64,10661,1.79,5955.87,CENTRAL
40901,88.48,21,20974,5.14,4080.54,CENTRAL
40902,86.89,28,9396,2.39,3931.38,CENTRAL
11903,71.45,141,35063,62.11,564.53,BRUNCA
11901,69.94,161,47680,196.89,242.17,BRUNCA
11902,67.12,202,6800,78.9,86.19,BRUNCA
60801,61.91,258,12554,76.9,163.26,BRUNCA
60501,61.26,262,8441,226.19,37.32,BRUNCA
11906,55.8,323,7072,90.13,78.47,BRUNCA
60701,53.21,348,11737,345.6,33.96,BRUNCA
60502,53.17,349,9672,264.4,36.58,BRUNCA
11905,52.83,351,9606,209.31,45.89,BRUNCA
11904,52.7,354,7234,307.85,23.5,BRUNCA
60803,52.46,355,6982,61.18,114.12,BRUNCA
61002,52.35,358,4867,40.25,120.92,BRUNCA
11908,52.11,362,9089,118.15,76.93,BRUNCA
11912,51.37,371,2863,1753,1.63,BRUNCA
60309,50.89,376,3303,163.8,20.16,BRUNCA
60504,50.16,386,3338,160.76,20.76,BRUNCA
60301,49.88,389,25224,552.51,45.65,BRUNCA
11909,49.82,391,2800,189.08,14.81,BRUNCA
60703,49.6,393,13674,324.66,42.12,BRUNCA
61001,49.13,394,19610,272.19,72.05,BRUNCA
60802,47.79,403,12084,186.6,64.76,BRUNCA
11911,47.45,407,4782,206.89,23.11,BRUNCA
11907,46.95,408,5911,206.1,28.68,BRUNCA
60302,46.31,416,3839,188.5,20.37,BRUNCA
61004,45.15,429,11195,185.83,60.24,BRUNCA
61003,43.96,437,14424,122.33,117.91,BRUNCA
60308,43.6,441,2631,208.34,12.63,BRUNCA
60702,43.08,443,11008,720.54,15.28,BRUNCA
60506,42.68,447,1110,392.69,2.83,BRUNCA
11910,42.35,449,3403,240.1,14.17,BRUNCA
60806,41.61,453,4979,235.61,21.13,BRUNCA
60505,40.71,455,4397,257.89,17.05,BRUNCA
60305,38.43,461,1766,110.7,15.95,BRUNCA
60304,37.22,463,3249,138.03,23.54,BRUNCA
60804,36.3,467,4116,118.57,34.71,BRUNCA
60307,36.03,469,2877,272.88,10.54,BRUNCA
60503,34.54,472,3514,628.31,5.59,BRUNCA
60303,34.04,473,6427,627.43,10.24,BRUNCA
60306,33.25,474,1423,122.03,11.66,BRUNCA
